joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.023980,0.011114,-0.064733,0.014556,-0.052787,0.003075,0.144436,-0.287471,0.163664,0.158972,0.224041,-0.094461,-0.184835,-0.148155,-0.236363,0.261398,-0.155024,0.026216,0.043125,-0.720180,0.523527,0.964596,1.176074,0.100885,-0.037810,0.590095,0.012106,-0.053232,0.057681
0.023980,0.009838,-0.064733,0.014556,-0.052787,0.003075,0.144436,-0.287471,0.163664,0.158972,0.225635,-0.099380,-0.189229,-0.148155,-0.235156,0.256949,-0.152023,0.026216,0.044954,-0.720180,0.525090,0.970595,1.182544,0.100885,-0.037810,0.613276,0.010181,-0.058846,0.053372
0.022749,0.008988,-0.064170,0.014337,-0.052693,0.002947,0.143856,-0.287150,0.164177,0.159253,0.226044,-0.103173,-0.192599,-0.146574,-0.234869,0.253545,-0.150023,0.025553,0.045231,-0.720351,0.526771,0.975020,1.187574,0.101209,-0.038154,0.633615,0.008428,-0.063902,0.048952
0.022749,0.008988,-0.064170,0.014337,-0.052693,0.002947,0.143856,-0.287150,0.164177,0.159253,0.226044,-0.104716,-0.192599,-0.143489,-0.234869,0.252233,-0.150023,0.025553,0.045231,-0.720351,0.526771,0.976296,1.187574,0.101209,-0.038154,0.648269,0.007016,-0.067842,0.044308
0.022875,0.008236,-0.063966,0.013413,-0.053246,0.002567,0.143206,-0.287684,0.164003,0.157521,0.224991,-0.105818,-0.192713,-0.143293,-0.236171,0.251238,-0.150833,0.026060,0.044139,-0.720339,0.527411,0.976721,1.188291,0.101849,-0.038317,0.659642,0.005781,-0.071058,0.040790
0.022875,0.008236,-0.063966,0.013413,-0.053246,0.002567,0.143206,-0.287684,0.164003,0.154570,0.224991,-0.105818,-0.192713,-0.144542,-0.236171,0.251238,-0.150833,0.026060,0.044139,-0.720339,0.527411,0.976721,1.188291,0.101849,-0.038317,0.669376,0.005781,-0.073910,0.037834
0.024238,0.007897,-0.064887,0.012956,-0.053095,0.002384,0.142477,-0.287484,0.163802,0.152403,0.224964,-0.106405,-0.192388,-0.147406,-0.238212,0.250201,-0.152038,0.026521,0.044525,-0.721096,0.526849,0.976893,1.187901,0.102051,-0.038620,0.675923,0.004388,-0.075627,0.036079
0.024389,0.006850,-0.066307,0.012645,-0.053491,0.002344,0.142235,-0.288501,0.163370,0.151484,0.225336,-0.107030,-0.191776,-0.148648,-0.239051,0.249361,-0.152864,0.025916,0.044475,-0.721166,0.525899,0.976492,1.188011,0.101596,-0.038899,0.681699,0.003180,-0.077202,0.034138
0.022876,0.006850,-0.066307,0.012645,-0.053491,0.002344,0.142235,-0.288501,0.163370,0.151484,0.225336,-0.107030,-0.191776,-0.146646,-0.239051,0.249361,-0.152864,0.025916,0.044475,-0.721166,0.525899,0.976492,1.188011,0.101596,-0.038899,0.685934,0.003180,-0.078491,0.034138
0.021511,0.006278,-0.067036,0.012415,-0.054146,0.001934,0.142064,-0.289589,0.162810,0.152887,0.224558,-0.107715,-0.191386,-0.143278,-0.238229,0.248569,-0.153498,0.025412,0.044178,-0.720271,0.524570,0.976303,1.188085,0.099045,-0.039016,0.688990,0.002152,-0.079945,0.033368
0.020220,0.006278,-0.067036,0.012415,-0.054146,0.001934,0.142064,-0.289589,0.162810,0.154204,0.224558,-0.107715,-0.191386,-0.139228,-0.238229,0.248569,-0.153498,0.025412,0.044178,-0.720271,0.524570,0.976303,1.188085,0.096629,-0.039016,0.691456,0.002152,-0.081481,0.033368
0.020220,0.005952,-0.067353,0.012427,-0.054157,0.001960,0.141939,-0.290332,0.163139,0.154204,0.224373,-0.108753,-0.191228,-0.141762,-0.237580,0.247535,-0.153750,0.026129,0.044779,-0.720022,0.524179,0.975579,1.188229,0.095194,-0.038742,0.693616,0.001373,-0.082037,0.033228
0.019522,0.005389,-0.067145,0.012929,-0.053820,0.002798,0.141414,-0.290684,0.163896,0.155134,0.224999,-0.109352,-0.191683,-0.144137,-0.238243,0.246931,-0.153440,0.025960,0.044849,-0.719803,0.524730,0.975378,1.188731,0.094577,-0.038526,0.695683,0.001043,-0.082594,0.033074
0.019522,0.005389,-0.067145,0.012929,-0.053820,0.002798,0.141414,-0.290684,0.163896,0.155134,0.224999,-0.109352,-0.191683,-0.146191,-0.238243,0.246931,-0.153440,0.024387,0.044849,-0.719803,0.524730,0.975378,1.188731,0.094577,-0.038526,0.697563,0.001043,-0.082594,0.033074
0.019370,0.006089,-0.066372,0.012492,-0.053788,0.003126,0.140689,-0.290052,0.164751,0.156671,0.225370,-0.108904,-0.191934,-0.147252,-0.238920,0.245910,-0.152852,0.023589,0.044906,-0.720046,0.525031,0.976897,1.188809,0.095498,-0.038935,0.698694,0.000760,-0.082505,0.032663
0.019370,0.006089,-0.066372,0.012492,-0.053788,0.003126,0.140689,-0.290052,0.164751,0.157941,0.225370,-0.108904,-0.191934,-0.147252,-0.238920,0.245910,-0.152852,0.023589,0.044906,-0.720046,0.525031,0.976897,1.188809,0.095498,-0.038935,0.698694,0.000760,-0.082505,0.032663
0.019150,0.006357,-0.065336,0.012738,-0.053755,0.003583,0.141183,-0.289629,0.165756,0.158819,0.225565,-0.108867,-0.192222,-0.147628,-0.238427,0.245343,-0.151775,0.025249,0.044363,-0.720113,0.526286,0.977800,1.188543,0.096931,-0.039170,0.699721,0.001318,-0.082068,0.032386
0.019328,0.006159,-0.064810,0.013079,-0.054104,0.003850,0.142117,-0.289915,0.166521,0.160310,0.226638,-0.108097,-0.193186,-0.147190,-0.237567,0.245316,-0.150389,0.026538,0.043519,-0.720800,0.526984,0.977469,1.188953,0.097783,-0.039500,0.700598,0.001520,-0.082182,0.032001
0.019328,0.006159,-0.064810,0.013079,-0.054104,0.003850,0.142117,-0.289915,0.166521,0.160310,0.226638,-0.108097,-0.193186,-0.147190,-0.237567,0.245316,-0.150389,0.026538,0.043519,-0.720800,0.526984,0.977469,1.188953,0.097783,-0.039500,0.700598,0.001520,-0.082182,0.032001
0.018674,0.005844,-0.065207,0.013355,-0.054331,0.004333,0.142531,-0.289967,0.166460,0.160923,0.227166,-0.106398,-0.193306,-0.147629,-0.237275,0.246232,-0.149019,0.026466,0.043577,-0.720230,0.525316,0.976712,1.189083,0.097605,-0.040055,0.700952,0.001361,-0.082740,0.032573
0.018674,0.005844,-0.065207,0.013355,-0.054331,0.004333,0.142531,-0.289967,0.166460,0.160923,0.227166,-0.105010,-0.193306,-0.147629,-0.237275,0.246232,-0.149019,0.026466,0.043577,-0.720230,0.525316,0.976712,1.189083,0.097605,-0.040055,0.700952,0.001361,-0.082740,0.032573
0.019511,0.005407,-0.065062,0.013402,-0.053947,0.004649,0.142304,-0.289227,0.166261,0.159039,0.227346,-0.104388,-0.192872,-0.147634,-0.236537,0.247231,-0.147831,0.026323,0.044056,-0.720071,0.524473,0.976727,1.188674,0.099985,-0.040216,0.701573,0.001072,-0.082744,0.033366
0.020203,0.005534,-0.064790,0.012892,-0.054150,0.004872,0.142100,-0.288736,0.166115,0.157449,0.227345,-0.103443,-0.192659,-0.147246,-0.236472,0.247644,-0.147346,0.026558,0.044149,-0.720066,0.524207,0.977391,1.188512,0.102353,-0.040246,0.701986,0.000557,-0.082887,0.033877
0.020203,0.005534,-0.064790,0.012892,-0.054150,0.004872,0.142100,-0.288736,0.166115,0.157449,0.227345,-0.103443,-0.192659,-0.147246,-0.236472,0.247644,-0.147346,0.026558,0.044149,-0.720066,0.524207,0.977391,1.188512,0.102353,-0.040246,0.701986,0.000557,-0.082887,0.033877
0.020684,0.004928,-0.064566,0.012542,-0.054422,0.005198,0.141983,-0.288909,0.165982,0.156785,0.227614,-0.102925,-0.192395,-0.147605,-0.237090,0.248735,-0.146930,0.026069,0.043754,-0.719945,0.524316,0.977298,1.188631,0.102477,-0.039998,0.702144,0.000278,-0.083693,0.034213
0.020684,0.004928,-0.064566,0.012542,-0.054422,0.005198,0.141983,-0.288909,0.165982,0.156785,0.227614,-0.102925,-0.192395,-0.147605,-0.237090,0.248735,-0.146930,0.026069,0.043754,-0.719945,0.524316,0.977298,1.188631,0.102477,-0.039998,0.702144,0.000278,-0.083693,0.034213
0.020064,0.004483,-0.064760,0.012270,-0.054914,0.005243,0.141969,-0.289069,0.165917,0.156482,0.228190,-0.102729,-0.192020,-0.147370,-0.237239,0.249689,-0.147003,0.026886,0.043911,-0.720225,0.524342,0.977279,1.188793,0.104532,-0.040463,0.702773,0.000271,-0.083669,0.034374
0.020224,0.004695,-0.064356,0.011560,-0.055765,0.005062,0.142077,-0.289046,0.166176,0.156964,0.228432,-0.102695,-0.191492,-0.146785,-0.237162,0.250192,-0.147648,0.027803,0.044763,-0.720801,0.524712,0.977949,1.189253,0.108496,-0.040672,0.703247,0.000449,-0.082664,0.033705
