joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.000000,-0.063795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079720,-0.245920,-0.219747,0.000000,0.060393,-0.222462,0.150038,0.000000,0.091420,0.000000,0.078145,0.299937,0.323474,0.000000,0.000000,1.159054,-0.096223,-0.280679,-0.215438
-0.061536,-0.042530,0.028164,-0.010960,0.004695,-0.006407,-0.028981,0.016083,0.025668,0.014036,0.020435,-0.189667,-0.168487,0.079054,0.014322,-0.170173,0.100026,-0.033117,0.013877,-0.008532,0.084072,0.221232,0.251502,0.016227,-0.017237,1.016933,-0.087678,-0.252800,-0.221022
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.077161,0.000000,0.154273,0.000000,-0.065592,0.000000,0.000000,0.000000,0.000000,0.000000,0.063795,0.000000,0.000000,0.000000,0.732699,-0.070587,-0.197044,-0.232192
0.006280,-0.037587,0.010201,-0.046194,-0.027630,-0.018990,-0.032494,-0.026709,-0.008716,-0.086612,-0.052649,-0.055071,-0.005709,0.009790,-0.065087,-0.049774,-0.040502,0.025326,-0.054582,0.000578,0.031981,0.021264,0.035852,0.032004,-0.008109,0.568691,-0.061768,-0.160761,-0.175912
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.147554,0.000000,0.000000,0.000000,-0.062451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486690,0.000000,-0.142620,-0.147773
0.068125,-0.016950,-0.046067,-0.022890,0.007534,-0.009178,-0.036487,0.009999,-0.010018,-0.108317,-0.001339,-0.029351,0.016279,-0.143179,-0.102076,-0.051855,-0.060243,0.023066,0.019299,-0.037846,-0.028124,0.008595,-0.019491,0.010069,-0.015151,0.327322,-0.069647,-0.085858,-0.087766
0.007582,-0.052327,-0.070976,-0.015551,-0.019818,-0.001964,-0.012077,-0.050855,-0.021604,-0.045975,0.018603,-0.031247,0.030602,-0.062093,-0.041953,-0.041990,-0.041325,-0.030284,-0.002501,-0.003505,-0.047487,-0.020021,0.005507,-0.022710,-0.013970,0.288805,-0.060386,-0.078721,-0.097020
-0.075637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211766,0.000000,-0.064446,0.000000
-0.068258,-0.028602,-0.036466,-0.011474,-0.032709,-0.020499,-0.008567,-0.054397,-0.027994,0.070143,-0.038895,-0.034272,0.019488,0.168376,0.041116,-0.039584,-0.031689,-0.025204,-0.014878,0.044748,-0.066447,-0.009459,0.003695,-0.127549,-0.005824,0.152785,-0.051395,-0.072698,-0.038509
-0.064568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065859,0.000000,0.000000,0.000000,0.202520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120831,0.000000,0.123295,0.000000,-0.076823,0.000000
