body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000324,0.000111,-0.000444,-0.029172,0.000468,-0.000651,-0.004677,-0.000595,0.000579,-0.016194,0.059857,-0.000906,-0.003193,-0.000113,-0.002093,-0.007822,0.000274,0.002067,0.014058,-0.001130,0.002657,0.008947,0.003012,-0.007699,-0.146539,0.108378,-0.055430,0.067439,-0.015225,-0.080726,-0.119083,-0.136268,-0.035468,-0.161568,-0.187006,0.035407,0.003374,-0.003768,-0.002910,0.783464,0.612277,-0.244735
0.001070,0.000361,-0.001501,-0.019226,0.000588,-0.001683,-0.008503,-0.000900,0.000571,-0.022323,0.033787,-0.000311,-0.000861,-0.001617,-0.002987,-0.016716,0.000843,0.003766,0.009533,0.000083,0.004410,0.010201,0.003427,-0.008804,-0.105768,0.080161,-0.044106,0.057667,-0.017049,-0.066553,-0.118409,-0.136804,-0.023399,-0.127771,-0.151230,0.025922,0.002856,-0.006744,-0.002321,0.702251,0.542665,-0.219552
0.002831,0.000935,-0.004063,-0.010219,0.000926,-0.004214,-0.011741,-0.000794,-0.000504,-0.030659,0.010424,-0.000790,0.004891,-0.003802,-0.004666,-0.028300,0.001853,0.005163,-0.008227,0.003041,0.005187,0.009252,0.003079,-0.008086,-0.063438,0.048600,-0.029726,0.045329,-0.019917,-0.046705,-0.114664,-0.133475,-0.006481,-0.091334,-0.112185,0.017370,0.000990,-0.010880,0.000011,0.601138,0.456435,-0.187686
0.006044,0.001952,-0.008859,-0.003652,0.001420,-0.008859,-0.011939,0.000089,-0.003379,-0.037928,-0.004402,-0.003133,0.012625,-0.005706,-0.008087,-0.037992,0.003024,0.004950,-0.034548,0.006534,0.003250,0.007127,0.002287,-0.006534,-0.027479,0.019819,-0.015793,0.033962,-0.023027,-0.024539,-0.105454,-0.124072,0.010882,-0.058547,-0.077681,0.011075,-0.001406,-0.015914,0.003386,0.494703,0.365528,-0.154358
0.010526,0.003320,-0.015709,0.000425,0.001816,-0.015185,-0.008167,0.001547,-0.007796,-0.040255,-0.009405,-0.007102,0.018419,-0.006386,-0.013494,-0.040477,0.003709,0.002211,-0.053786,0.007866,-0.002141,0.005658,0.001633,-0.005840,-0.001934,-0.001618,-0.005690,0.026426,-0.025109,-0.004374,-0.090399,-0.108033,0.023970,-0.033603,-0.052768,0.006875,-0.003415,-0.021026,0.005785,0.396692,0.280629,-0.126522
0.015137,0.004666,-0.022883,0.002870,0.001877,-0.021171,-0.002371,0.002719,-0.012102,-0.035760,-0.007729,-0.011164,0.017877,-0.005642,-0.019643,-0.034167,0.003377,-0.002749,-0.050149,0.004963,-0.009597,0.005803,0.001446,-0.006814,0.013354,-0.014121,-0.000905,0.022885,-0.025105,0.010203,-0.071530,-0.086992,0.030170,-0.017448,-0.037651,0.003607,-0.004907,-0.025045,0.004896,0.314573,0.206835,-0.110418
0.018190,0.005466,-0.027732,0.004330,0.001650,-0.024085,0.002117,0.002787,-0.014174,-0.025919,-0.003562,-0.013430,0.009570,-0.004001,-0.024430,-0.022460,0.002111,-0.008449,-0.021874,-0.001450,-0.016201,0.006906,0.001587,-0.008596,0.020498,-0.018714,-0.000691,0.021311,-0.022731,0.017504,-0.052108,-0.064116,0.029522,-0.008630,-0.029427,0.000393,-0.006444,-0.027327,0.000008,0.249534,0.144525,-0.108151
0.018487,0.005321,-0.028423,0.004599,0.001412,-0.022490,0.003428,0.001759,-0.013013,-0.014849,0.000701,-0.012967,-0.003136,-0.002159,-0.026440,-0.010405,0.000572,-0.013056,0.014920,-0.008054,-0.019486,0.007485,0.001687,-0.009467,0.021966,-0.018086,-0.002782,0.019746,-0.018571,0.018086,-0.035096,-0.042780,0.023821,-0.004807,-0.025127,-0.002548,-0.008391,-0.028345,-0.006961,0.199091,0.093117,-0.115015
0.016098,0.004203,-0.025166,0.003118,0.001369,-0.017491,0.002393,0.000427,-0.009541,-0.006769,0.004453,-0.010376,-0.014317,-0.000556,-0.025732,-0.001032,-0.000588,-0.015255,0.037089,-0.011664,-0.018888,0.006733,0.001548,-0.008536,0.020085,-0.015294,-0.004706,0.017856,-0.013500,0.013744,-0.021952,-0.025251,0.015088,-0.003606,-0.022935,-0.004493,-0.010041,-0.028833,-0.012931,0.159657,0.054039,-0.121083
0.012161,0.002539,-0.019660,0.000066,0.001498,-0.011726,0.001308,-0.000408,-0.005866,-0.003356,0.007316,-0.007309,-0.019898,0.000642,-0.023132,0.005428,-0.001336,-0.014482,0.031902,-0.012085,-0.015326,0.005249,0.001326,-0.006617,0.016508,-0.012511,-0.004928,0.016331,-0.007859,0.006116,-0.012459,-0.011989,0.004599,-0.002841,-0.021574,-0.005417,-0.009508,-0.028294,-0.016235,0.128519,0.030327,-0.117240
