body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.003070,0.010375,0.004531,0.002708,0.009067,0.004232,0.002665,-0.005466,0.004484,-0.001904,-0.003761,0.005042,0.002728,0.010975,0.004819,0.002242,0.009702,0.004808,0.001584,0.007205,0.004342,0.003233,0.010147,0.004553,0.003602,0.004969,0.004028,-0.019707,-0.025523,0.004059,-0.024468,-0.015956,0.001051,0.003736,0.006464,0.004406,0.040032,-0.026577,-0.002900,0.008124,0.001869,0.008566
0.002646,0.009070,0.003182,0.002075,0.008116,0.002691,0.002001,-0.003316,0.002891,-0.001096,-0.003438,0.003041,0.002094,0.010077,0.003652,0.001666,0.009046,0.003644,0.000645,0.004106,0.002773,0.002889,0.008729,0.003216,0.003367,0.003155,0.002481,-0.014918,-0.020664,0.002504,-0.018621,-0.012268,-0.000128,0.003439,0.005182,0.003081,0.034047,-0.022060,-0.003068,0.005178,0.004002,0.007630
0.002169,0.007544,0.001145,0.001375,0.006891,0.000452,0.001115,-0.001250,0.000595,-0.000557,-0.003408,0.000313,0.001398,0.009151,0.001803,0.001278,0.009390,0.001810,-0.000148,0.001017,0.000406,0.002478,0.007085,0.001189,0.002998,0.001761,0.000360,-0.009036,-0.014327,0.000428,-0.011070,-0.007632,-0.001659,0.003022,0.003867,0.001063,0.026831,-0.016622,-0.003710,0.002232,0.006036,0.005977
0.001725,0.006031,-0.001225,0.000741,0.005496,-0.002087,0.000130,0.000272,-0.001996,-0.000510,-0.003348,-0.002571,0.000774,0.008539,-0.000409,0.001092,0.010990,-0.000383,-0.000708,-0.000965,-0.002309,0.002075,0.005439,-0.001168,0.002585,0.000886,-0.001983,-0.003180,-0.007859,-0.001833,-0.003166,-0.002969,-0.003346,0.002584,0.002587,-0.001297,0.019756,-0.011330,-0.004738,0.000182,0.007414,0.003754
0.001341,0.004682,-0.003142,0.000227,0.004023,-0.004113,-0.000792,0.001051,-0.004065,-0.000902,-0.002833,-0.004684,0.000281,0.008405,-0.002228,0.000923,0.013109,-0.002185,-0.001039,-0.001085,-0.004407,0.001712,0.003921,-0.003069,0.002205,0.000164,-0.003843,0.001491,-0.002776,-0.003622,0.003477,0.000726,-0.004700,0.002198,0.001278,-0.003217,0.014049,-0.007218,-0.005606,-0.000461,0.007777,0.001597
0.000968,0.003547,-0.003768,-0.000211,0.002582,-0.004788,-0.001517,0.001216,-0.004773,-0.001405,-0.001849,-0.005233,-0.000132,0.008568,-0.002820,0.000558,0.014157,-0.002773,-0.001131,0.000273,-0.004907,0.001346,0.002593,-0.003678,0.001826,-0.000802,-0.004447,0.004299,0.000117,-0.004208,0.007717,0.002896,-0.005067,0.001811,-0.000020,-0.003865,0.010104,-0.004679,-0.005566,0.000078,0.007161,0.000362
0.000547,0.002697,-0.002811,-0.000627,0.001399,-0.003817,-0.001947,0.001100,-0.003829,-0.001632,-0.000833,-0.004098,-0.000525,0.008645,-0.001888,-0.000048,0.012763,-0.001852,-0.000951,0.001720,-0.003542,0.000922,0.001580,-0.002707,0.001344,-0.001984,-0.003493,0.005204,0.001044,-0.003296,0.009255,0.003618,-0.004102,0.001307,-0.001011,-0.002957,0.007538,-0.003327,-0.004268,0.001109,0.006003,0.000499
0.000102,0.002269,-0.000856,-0.000964,0.000746,-0.001759,-0.002012,0.001006,-0.001790,-0.001383,-0.000253,-0.001985,-0.000851,0.008383,-0.000040,-0.000714,0.008998,-0.000026,-0.000542,0.002141,-0.001093,0.000452,0.001093,-0.000747,0.000737,-0.002950,-0.001530,0.004671,0.000873,-0.001413,0.008570,0.003444,-0.002226,0.000665,-0.001351,-0.001079,0.005804,-0.002450,-0.002187,0.002122,0.004867,0.001607
-0.000269,0.002325,0.000908,-0.001074,0.000713,0.000240,-0.001695,0.000972,0.000203,-0.000763,-0.000246,-0.000043,-0.000964,0.007796,0.001498,-0.001166,0.004452,0.001488,-0.000040,0.001667,0.001026,0.000014,0.001241,0.001009,0.000147,-0.003342,0.000241,0.003377,0.000451,0.000262,0.006533,0.003022,-0.000554,0.000039,-0.000992,0.000603,0.004640,-0.001555,-0.000404,0.003052,0.004130,0.002624
-0.000500,0.002684,0.001469,-0.000883,0.001067,0.001174,-0.001115,0.000813,0.001145,-0.000110,-0.000583,0.000830,-0.000785,0.006987,0.001703,-0.001233,0.000921,0.001678,0.000424,0.001197,0.001697,-0.000320,0.001827,0.001548,-0.000228,-0.003264,0.000737,0.001871,0.000111,0.000646,0.003871,0.002691,-0.000173,-0.000364,-0.000282,0.001124,0.003985,-0.000541,0.000163,0.003884,0.003945,0.002590
-0.000616,0.002950,0.000677,-0.000509,0.001382,0.000814,-0.000517,0.000428,0.000802,0.000240,-0.000810,0.000523,-0.000428,0.005907,0.000503,-0.000949,-0.000984,0.000474,0.000837,0.001312,0.000855,-0.000547,0.002395,0.000727,-0.000303,-0.003152,-0.000237,0.000379,-0.000295,-0.000467,0.000874,0.002329,-0.001298,-0.000458,0.000291,0.000383,0.003690,0.000472,-0.000549,0.004268,0.004382,0.001342
-0.000718,0.002764,-0.000717,-0.000210,0.001364,-0.000229,-0.000110,-0.000027,-0.000225,0.000221,-0.000517,-0.000331,-0.000151,0.004375,-0.001217,-0.000518,-0.001962,-0.001238,0.001270,0.001927,-0.000543,-0.000727,0.002521,-0.000695,-0.000165,-0.003314,-0.001890,-0.001125,-0.000972,-0.002293,-0.002443,0.001641,-0.003114,-0.000332,0.000413,-0.000863,0.003480,0.001338,-0.001748,0.003773,0.005423,-0.000435
-0.000898,0.002060,-0.001689,-0.000198,0.001028,-0.001042,0.000093,-0.000342,-0.001029,0.000078,0.000319,-0.000888,-0.000168,0.002320,-0.002328,-0.000209,-0.003060,-0.002337,0.001679,0.002602,-0.001316,-0.000929,0.002099,-0.001693,0.000032,-0.003678,-0.003118,-0.002709,-0.001858,-0.003713,-0.006027,0.000564,-0.004463,-0.000135,0.000041,-0.001621,0.003140,0.001938,-0.002423,0.002406,0.006804,-0.001762
-0.001187,0.001075,-0.001654,-0.000510,0.000614,-0.001043,0.000236,-0.000558,-0.001027,0.000097,0.001194,-0.000672,-0.000514,-0.000046,-0.002244,-0.000254,-0.004778,-0.002244,0.001783,0.002809,-0.000912,-0.001190,0.001347,-0.001679,0.000206,-0.003956,-0.003297,-0.004352,-0.002704,-0.004082,-0.009630,-0.000657,-0.004700,0.000060,-0.000701,-0.001343,0.002597,0.002209,-0.002020,0.000652,0.008044,-0.002012
