body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.002395,0.011729,0.791166,0.114840,0.008173,0.658739,0.112371,0.003139,0.352439,0.096487,0.062276,0.041297,-0.118039,0.011300,0.657306,-0.111340,0.012264,0.351202,-0.098468,0.060311,0.037738,-0.002871,0.016713,0.845079,0.139077,-0.016105,1.077175,0.165725,-0.035747,0.895940,0.164065,-0.095371,0.721549,-0.141624,-0.029726,1.076603,-0.183922,-0.035378,0.897468,-0.179877,-0.082484,0.723986
-0.002322,0.011971,0.791280,0.114912,0.008377,0.658853,0.112439,0.002954,0.352560,0.096414,0.062170,0.041440,-0.117966,0.011542,0.657420,-0.111267,0.012507,0.351316,-0.098395,0.060554,0.037852,-0.002798,0.016956,0.845193,0.139150,-0.015923,1.077291,0.165213,-0.036357,0.896060,0.163443,-0.095775,0.721604,-0.141545,-0.029550,1.076713,-0.182969,-0.036027,0.897402,-0.179623,-0.082522,0.724169
-0.002268,0.012156,0.791382,0.114938,0.008563,0.658930,0.112491,0.003029,0.352640,0.096485,0.062265,0.041521,-0.117940,0.011784,0.657545,-0.111338,0.012514,0.351438,-0.098540,0.060433,0.037947,-0.002727,0.017116,0.845297,0.139269,-0.016158,1.077317,0.164853,-0.037038,0.896069,0.162923,-0.096112,0.721503,-0.141433,-0.029553,1.076815,-0.182250,-0.036452,0.897380,-0.179597,-0.082266,0.724345
-0.002252,0.012223,0.791460,0.114954,0.008631,0.659008,0.112507,0.003096,0.352717,0.096501,0.062333,0.041598,-0.117924,0.011851,0.657623,-0.111322,0.012581,0.351516,-0.098515,0.060554,0.038026,-0.002711,0.017184,0.845375,0.139285,-0.016090,1.077395,0.164869,-0.036970,0.896147,0.162903,-0.096095,0.721602,-0.141416,-0.029506,1.076892,-0.181971,-0.036666,0.897408,-0.179717,-0.082146,0.724569
-0.002231,0.012322,0.791348,0.114920,0.008737,0.658847,0.112452,0.003046,0.352559,0.096509,0.061782,0.041347,-0.117958,0.011993,0.657559,-0.111255,0.012846,0.351455,-0.098446,0.060414,0.037903,-0.002674,0.017268,0.845265,0.139321,-0.016059,1.077279,0.165035,-0.036942,0.896050,0.163199,-0.095988,0.721479,-0.141381,-0.029431,1.076779,-0.181743,-0.036747,0.897258,-0.179736,-0.082000,0.724586
-0.002206,0.012437,0.791142,0.114945,0.008852,0.658640,0.112477,0.003160,0.352352,0.096534,0.061896,0.041140,-0.117933,0.012108,0.657353,-0.111231,0.012961,0.351249,-0.098566,0.059592,0.037554,-0.002649,0.017383,0.845059,0.139346,-0.015944,1.077072,0.165060,-0.036827,0.895844,0.163224,-0.095874,0.721273,-0.141356,-0.029316,1.076573,-0.181718,-0.036633,0.897052,-0.180038,-0.081605,0.724503
-0.002165,0.012482,0.790933,0.114948,0.008879,0.658398,0.112352,0.003307,0.352109,0.096348,0.062133,0.040925,-0.117927,0.012394,0.657175,-0.111217,0.013885,0.351074,-0.098634,0.060449,0.037372,-0.002596,0.017389,0.844854,0.139418,-0.016055,1.076838,0.165344,-0.036787,0.895621,0.163667,-0.095810,0.721045,-0.141284,-0.029441,1.076355,-0.181458,-0.036747,0.896792,-0.179796,-0.081511,0.724324
-0.002149,0.012505,0.790827,0.114947,0.008817,0.658279,0.112381,0.003023,0.351992,0.096393,0.061718,0.040787,-0.117924,0.012577,0.657080,-0.111168,0.014228,0.350981,-0.098551,0.060646,0.037262,-0.002577,0.017391,0.844749,0.139470,-0.015958,1.076725,0.165561,-0.036581,0.895520,0.164108,-0.095532,0.720920,-0.141224,-0.029508,1.076261,-0.181245,-0.036944,0.896669,-0.179566,-0.081652,0.724309
-0.002183,0.012485,0.790926,0.114885,0.008783,0.658355,0.112258,0.003241,0.352064,0.096275,0.062206,0.040909,-0.117983,0.012739,0.657200,-0.111287,0.014170,0.351099,-0.098680,0.060390,0.037346,-0.002596,0.017327,0.844853,0.139458,-0.016357,1.076776,0.165495,-0.036860,0.895549,0.163950,-0.095667,0.720902,-0.141250,-0.029617,1.076352,-0.181311,-0.036866,0.896761,-0.179851,-0.081313,0.724421
-0.002203,0.012523,0.791100,0.114822,0.008782,0.658492,0.112213,0.003202,0.352200,0.096311,0.061905,0.040988,-0.118043,0.012896,0.657409,-0.111326,0.014066,0.351307,-0.098595,0.060509,0.037583,-0.002607,0.017337,0.845030,0.139414,-0.016344,1.076972,0.165609,-0.036791,0.895761,0.164231,-0.095631,0.721126,-0.141293,-0.029606,1.076511,-0.181187,-0.036979,0.896887,-0.179628,-0.081447,0.724618
