body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.702888,0.004562,0.008830,0.711231,-0.701214,0.044351,0.084866,0.706491,0.794797,0.063715,0.081478,-0.597996,0.798531,-0.024163,0.000568,-0.601469,-0.699788,0.063174,0.056725,0.709287,-0.648059,-0.067821,-0.047215,0.757094,-0.649871,-0.003188,-0.008960,0.759985,0.723730,0.050395,0.051627,-0.686302,0.706499,0.042866,-0.066161,-0.703310,-0.445671,-0.526962,-0.233649,0.684906,-0.414423,-0.532714,-0.238875,0.698147,0.730595,-0.075988,0.106314,-0.670189,0.756370,0.141704,0.538554,-0.343197,0.575157,0.210708,0.747566,-0.256790
-0.702888,0.004562,0.008830,0.711231,-0.701184,0.044802,0.085309,0.706439,0.794770,0.063679,0.081732,-0.598001,0.798511,-0.024929,0.001373,-0.601463,-0.699788,0.063174,0.056725,0.709287,-0.648059,-0.067821,-0.047215,0.757094,-0.649871,-0.003188,-0.008960,0.759985,0.723730,0.050395,0.051627,-0.686302,0.706222,0.040280,-0.066633,-0.703696,-0.444649,-0.527630,-0.233616,0.685068,-0.415088,-0.533228,-0.237267,0.697907,0.731052,-0.076009,0.103049,-0.670198,0.756564,0.141621,0.538311,-0.343184,0.567309,0.216044,0.753237,-0.253220
-0.702790,0.004473,0.008596,0.711332,-0.701088,0.044945,0.085445,0.706509,0.794601,0.063695,0.081734,-0.598224,0.798345,-0.024897,0.001680,-0.601683,-0.699666,0.063538,0.056902,0.709360,-0.648068,-0.067565,-0.047108,0.757116,-0.649877,-0.003559,-0.009338,0.759973,0.723406,0.050659,0.052063,-0.686590,0.705692,0.038606,-0.066654,-0.704320,-0.443127,-0.528553,-0.233615,0.685342,-0.415081,-0.534210,-0.235467,0.697770,0.731141,-0.075743,0.101022,-0.670441,0.756486,0.142028,0.538311,-0.343189,0.560081,0.220989,0.758324,-0.249837
-0.702790,0.004473,0.008596,0.711332,-0.701088,0.044945,0.085445,0.706509,0.794601,0.063695,0.081734,-0.598224,0.798345,-0.024897,0.001680,-0.601683,-0.699666,0.063538,0.056902,0.709360,-0.648068,-0.067565,-0.047108,0.757116,-0.649893,-0.004732,-0.010340,0.759941,0.723406,0.050659,0.052063,-0.686590,0.705692,0.038606,-0.066654,-0.704320,-0.443127,-0.528553,-0.233615,0.685342,-0.416848,-0.534276,-0.233910,0.697189,0.731281,-0.075779,0.100024,-0.670433,0.756691,0.141879,0.538036,-0.343229,0.555186,0.224437,0.761648,-0.247565
-0.702779,0.004529,0.008356,0.711345,-0.701090,0.045116,0.085620,0.706475,0.794749,0.063149,0.081193,-0.598158,0.798414,-0.025388,0.000274,-0.601573,-0.699707,0.063227,0.056946,0.709345,-0.648392,-0.067161,-0.046592,0.756906,-0.650176,-0.004258,-0.010046,0.759705,0.723334,0.050691,0.052098,-0.686662,0.705594,0.038871,-0.066943,-0.704375,-0.442832,-0.529193,-0.233400,0.685112,-0.417858,-0.534942,-0.232440,0.696566,0.731318,-0.075744,0.099338,-0.670499,0.756965,0.141758,0.537666,-0.343256,0.551543,0.227055,0.764109,-0.245731
-0.702779,0.004529,0.008356,0.711345,-0.701090,0.045116,0.085620,0.706475,0.794749,0.063149,0.081193,-0.598158,0.798414,-0.025388,0.000274,-0.601573,-0.699707,0.063227,0.056946,0.709345,-0.648460,-0.066044,-0.045635,0.757004,-0.650154,-0.002662,-0.008682,0.759748,0.723334,0.050691,0.052098,-0.686662,0.705594,0.038871,-0.066943,-0.704375,-0.442832,-0.529193,-0.233400,0.685112,-0.418886,-0.535285,-0.231649,0.695948,0.731318,-0.075744,0.099338,-0.670499,0.756965,0.141758,0.537666,-0.343256,0.548100,0.229534,0.766364,-0.244104
-0.702466,0.004372,0.008005,0.711659,-0.700794,0.045156,0.085328,0.706802,0.794468,0.063209,0.081427,-0.598494,0.798131,-0.026130,-0.000152,-0.601917,-0.699482,0.062449,0.056255,0.709691,-0.648412,-0.065934,-0.045693,0.757052,-0.650091,-0.001485,-0.007786,0.759815,0.723320,0.050853,0.052310,-0.686648,0.705591,0.039564,-0.067037,-0.704331,-0.443044,-0.529519,-0.233516,0.684684,-0.419775,-0.535408,-0.230896,0.695567,0.731410,-0.075395,0.098983,-0.670490,0.757345,0.141822,0.537347,-0.342890,0.546207,0.230851,0.767782,-0.242646
-0.702149,0.004275,0.007830,0.711974,-0.700477,0.045295,0.085673,0.707065,0.794539,0.063078,0.081294,-0.598432,0.798172,-0.026486,-0.000644,-0.601847,-0.699194,0.062212,0.056113,0.710006,-0.648191,-0.065838,-0.045524,0.757260,-0.649849,-0.001085,-0.007021,0.760030,0.723500,0.050799,0.052330,-0.686461,0.705810,0.040044,-0.067100,-0.704078,-0.443554,-0.529770,-0.234004,0.683992,-0.421018,-0.535534,-0.230520,0.694844,0.731650,-0.075363,0.098462,-0.670309,0.757786,0.141521,0.536912,-0.342722,0.544687,0.232100,0.768776,-0.241721
-0.701783,0.004058,0.007475,0.712340,-0.700137,0.045118,0.085298,0.707458,0.794196,0.063390,0.081577,-0.598815,0.797871,-0.026216,-0.000313,-0.602257,-0.698808,0.062557,0.056257,0.710345,-0.647814,-0.065558,-0.045290,0.757620,-0.649465,-0.001546,-0.007471,0.760354,0.723119,0.051059,0.052648,-0.686819,0.705435,0.040233,-0.066770,-0.704474,-0.442963,-0.530010,-0.234048,0.684174,-0.420420,-0.535762,-0.230564,0.695016,0.731324,-0.075075,0.098840,-0.670641,0.757502,0.142076,0.537047,-0.342908,0.542893,0.233796,0.769759,-0.240992
-0.701506,0.003983,0.007183,0.712616,-0.699886,0.045048,0.085422,0.707696,0.794358,0.063134,0.081190,-0.598680,0.797999,-0.025975,-0.000568,-0.602098,-0.698525,0.062821,0.056589,0.710573,-0.647668,-0.065860,-0.045382,0.757713,-0.649349,-0.003145,-0.008639,0.760435,0.723107,0.051098,0.052593,-0.686833,0.705432,0.040630,-0.066912,-0.704441,-0.443500,-0.530076,-0.234282,0.683695,-0.421308,-0.535598,-0.230334,0.694680,0.731385,-0.074975,0.098273,-0.670669,0.757738,0.142099,0.536416,-0.343365,0.542338,0.236077,0.769420,-0.241102
-0.701506,0.003983,0.007183,0.712616,-0.699886,0.045048,0.085422,0.707696,0.794358,0.063134,0.081190,-0.598680,0.797999,-0.025975,-0.000568,-0.602098,-0.698483,0.063279,0.057041,0.710538,-0.647678,-0.065933,-0.045325,0.757701,-0.649376,-0.004759,-0.009897,0.760388,0.723107,0.051098,0.052593,-0.686833,0.705432,0.040630,-0.066912,-0.704441,-0.443500,-0.530076,-0.234282,0.683695,-0.421308,-0.535598,-0.230334,0.694680,0.731385,-0.074975,0.098273,-0.670669,0.757738,0.142099,0.536416,-0.343365,0.541579,0.238094,0.769434,-0.240782
-0.701235,0.003818,0.007099,0.712885,-0.699619,0.044908,0.085560,0.707952,0.794388,0.063166,0.080983,-0.598665,0.798002,-0.026101,-0.000250,-0.602089,-0.698211,0.063224,0.056843,0.710826,-0.647344,-0.066021,-0.045472,0.757970,-0.649043,-0.003694,-0.009452,0.760684,0.722939,0.051380,0.052787,-0.686974,0.705266,0.041023,-0.066741,-0.704601,-0.443406,-0.530361,-0.234562,0.683439,-0.421418,-0.535567,-0.230506,0.694580,0.731365,-0.074648,0.097764,-0.670802,0.758196,0.142188,0.535606,-0.343581,0.541525,0.239378,0.769063,-0.240813
-0.701141,0.003705,0.007325,0.712976,-0.699475,0.045242,0.085738,0.708052,0.794363,0.062986,0.081112,-0.598699,0.797979,-0.026511,-0.000363,-0.602101,-0.698061,0.063540,0.057126,0.710922,-0.647413,-0.066052,-0.045495,0.757908,-0.649100,-0.002880,-0.008635,0.760648,0.722750,0.051458,0.053106,-0.687143,0.705065,0.040877,-0.066548,-0.704829,-0.442868,-0.530550,-0.234546,0.683647,-0.421068,-0.535646,-0.230363,0.694779,0.731250,-0.074458,0.097770,-0.670947,0.758156,0.142472,0.535402,-0.343868,0.540829,0.240504,0.769222,-0.240746
-0.701141,0.003705,0.007325,0.712976,-0.699475,0.045242,0.085738,0.708052,0.794363,0.062986,0.081112,-0.598699,0.797979,-0.026511,-0.000363,-0.602101,-0.698061,0.063540,0.057126,0.710922,-0.647413,-0.066052,-0.045495,0.757908,-0.649087,-0.002609,-0.007370,0.760674,0.722750,0.051458,0.053106,-0.687143,0.705065,0.040877,-0.066548,-0.704829,-0.442868,-0.530550,-0.234546,0.683647,-0.421068,-0.535646,-0.230363,0.694779,0.731250,-0.074458,0.097770,-0.670947,0.758156,0.142472,0.535402,-0.343868,0.540090,0.240771,0.769710,-0.240580
-0.701164,0.003755,0.007461,0.712951,-0.699499,0.045118,0.085552,0.708058,0.794157,0.063319,0.081372,-0.598902,0.797800,-0.026482,-0.000401,-0.602340,-0.698090,0.063412,0.057395,0.710884,-0.647719,-0.066713,-0.045808,0.757570,-0.649416,-0.003145,-0.007009,0.760395,0.722485,0.051604,0.053373,-0.687390,-0.704822,-0.040656,0.066016,0.705135,-0.442156,-0.530398,-0.234559,0.684221,-0.420364,-0.535479,-0.230135,0.695409,0.731046,-0.073846,0.097818,-0.671230,0.757777,0.143382,0.535802,-0.343704,0.539137,0.241238,0.770426,-0.239958
-0.701164,0.003755,0.007461,0.712951,-0.699499,0.045118,0.085552,0.708058,0.794157,0.063319,0.081372,-0.598902,0.797800,-0.026482,-0.000401,-0.602340,-0.698090,0.063412,0.057395,0.710884,-0.647689,-0.067194,-0.046219,0.757527,-0.649422,-0.003628,-0.007421,0.760383,0.722485,0.051604,0.053373,-0.687390,-0.704822,-0.040656,0.066016,0.705135,-0.442156,-0.530398,-0.234559,0.684221,-0.420364,-0.535479,-0.230135,0.695409,0.731046,-0.073846,0.097818,-0.671230,0.757777,0.143382,0.535802,-0.343704,0.539137,0.241238,0.770426,-0.239958
-0.701541,0.003957,0.007711,0.712576,-0.699868,0.045128,0.085785,0.707664,0.794380,0.063294,0.081249,-0.598626,0.798023,-0.026059,-0.000449,-0.602063,-0.698419,0.063876,0.057695,0.710495,-0.647892,-0.067072,-0.046191,0.757366,-0.649623,-0.002916,-0.007955,0.760209,0.722471,0.051576,0.053649,-0.687384,-0.704823,-0.040086,0.065518,0.705213,-0.441478,-0.530103,-0.234566,0.684885,-0.419654,-0.535446,-0.230092,0.695878,0.731063,-0.073648,0.097915,-0.671219,0.757594,0.143662,0.536207,-0.343358,0.538383,0.240815,0.771286,-0.239311
-0.701874,0.004052,0.007774,0.712248,-0.700205,0.045040,0.086154,0.707292,0.794764,0.063534,0.081385,-0.598073,0.798452,-0.025085,-0.000345,-0.601536,-0.698746,0.063931,0.057675,0.710169,-0.647856,-0.067609,-0.046661,0.757321,-0.649631,-0.003112,-0.008981,0.760190,0.722591,0.051589,0.053918,-0.687236,-0.704922,-0.039296,0.065098,0.705197,-0.441140,-0.529639,-0.234724,0.685407,-0.419339,-0.535160,-0.230061,0.696298,0.731151,-0.073372,0.098428,-0.671079,0.757639,0.143803,0.536505,-0.342734,0.537975,0.240529,0.771928,-0.238445
-0.701874,0.004052,0.007774,0.712248,-0.700205,0.045040,0.086154,0.707292,0.794764,0.063534,0.081385,-0.598073,0.798452,-0.025085,-0.000345,-0.601536,-0.698746,0.063931,0.057675,0.710169,-0.647856,-0.067609,-0.046661,0.757321,-0.649631,-0.003112,-0.008981,0.760190,0.722591,0.051589,0.053918,-0.687236,-0.704922,-0.039296,0.065098,0.705197,-0.441140,-0.529639,-0.234724,0.685407,-0.419339,-0.535160,-0.230061,0.696298,0.731151,-0.073372,0.098428,-0.671079,0.757639,0.143803,0.536505,-0.342734,0.537975,0.240529,0.771928,-0.238445
-0.701942,0.004024,0.007754,0.712180,-0.700260,0.045209,0.086309,0.707207,0.794895,0.063452,0.081504,-0.597890,0.798596,-0.025167,-0.000050,-0.601341,-0.698790,0.064179,0.057839,0.710090,-0.647768,-0.067631,-0.046651,0.757395,-0.649541,-0.002994,-0.008815,0.760270,0.722769,0.051519,0.054218,-0.687031,0.705153,0.038730,-0.064363,-0.705065,-0.441669,-0.528696,-0.235684,0.685464,-0.419553,-0.534215,-0.230933,0.696606,0.731196,-0.073218,0.099617,-0.670871,0.757253,0.144141,0.537096,-0.342520,0.537345,0.241141,0.772327,-0.237956
-0.701942,0.004024,0.007754,0.712180,-0.700260,0.045209,0.086309,0.707207,0.794895,0.063452,0.081504,-0.597890,0.798596,-0.025167,-0.000050,-0.601341,-0.698790,0.064179,0.057839,0.710090,-0.647768,-0.067631,-0.046651,0.757395,-0.649541,-0.002994,-0.008815,0.760270,0.722769,0.051519,0.054218,-0.687031,0.705153,0.038730,-0.064363,-0.705065,-0.441669,-0.528696,-0.235684,0.685464,-0.419553,-0.534215,-0.230933,0.696606,0.731112,-0.072755,0.100122,-0.670938,0.757058,0.144724,0.537344,-0.342315,0.537091,0.241629,0.772473,-0.237560
-0.702145,0.003760,0.007825,0.711981,-0.700437,0.045112,0.086357,0.707033,0.794763,0.063670,0.081458,-0.598049,0.798467,-0.024936,0.000364,-0.601522,-0.699004,0.063749,0.057488,0.709947,-0.648052,-0.067275,-0.046474,0.757194,-0.649806,-0.002657,-0.008604,0.760047,0.722923,0.051516,0.054115,-0.686877,0.705356,0.038485,-0.063898,-0.704917,-0.441986,-0.528145,-0.236275,0.685482,-0.419591,-0.533506,-0.231607,0.696903,0.731183,-0.072928,0.100557,-0.670777,0.756796,0.144686,0.537736,-0.342295,0.536442,0.240629,0.773351,-0.237182
-0.702351,0.003714,0.007739,0.711779,-0.700653,0.044951,0.086286,0.706838,0.794794,0.063849,0.081498,-0.597983,0.798507,-0.024768,0.000452,-0.601476,-0.699260,0.063210,0.057415,0.709749,-0.648411,-0.067153,-0.046132,0.756918,-0.650140,-0.002739,-0.008310,0.759764,0.723016,0.051409,0.054249,-0.686777,0.705498,0.038294,-0.063524,-0.704820,-0.442063,-0.527782,-0.236646,0.685584,-0.419542,-0.532909,-0.231983,0.697263,0.731185,-0.072978,0.101249,-0.670665,0.756349,0.144877,0.538446,-0.342087,0.535611,0.239822,0.774378,-0.236525
-0.702351,0.003714,0.007739,0.711779,-0.700653,0.044951,0.086286,0.706838,0.794794,0.063849,0.081498,-0.597983,0.798507,-0.024768,0.000452,-0.601476,-0.699260,0.063210,0.057415,0.709749,-0.648411,-0.067153,-0.046132,0.756918,-0.650140,-0.002739,-0.008310,0.759764,0.723016,0.051409,0.054249,-0.686777,0.705498,0.038294,-0.063524,-0.704820,-0.442063,-0.527782,-0.236646,0.685584,-0.419542,-0.532909,-0.231983,0.697263,0.731185,-0.072978,0.101249,-0.670665,0.756349,0.144877,0.538446,-0.342087,0.535611,0.239822,0.774378,-0.236525
-0.702396,0.003701,0.007645,0.711736,-0.700698,0.045048,0.086508,0.706760,0.794907,0.063767,0.081425,-0.597852,0.798605,-0.024865,-0.000002,-0.601342,-0.699339,0.062901,0.057281,0.709709,-0.648605,-0.067162,-0.046114,0.756752,-0.650331,-0.002718,-0.008047,0.759604,0.722970,0.051282,0.054386,-0.686823,0.705502,0.038101,-0.063150,-0.704860,-0.441830,-0.527627,-0.236903,0.685764,-0.419289,-0.532557,-0.232346,0.697564,0.731070,-0.073224,0.101855,-0.670672,0.755877,0.144937,0.539036,-0.342175,0.535001,0.240216,0.774738,-0.236329
-0.702396,0.003701,0.007645,0.711736,-0.700698,0.045048,0.086508,0.706760,0.794907,0.063767,0.081425,-0.597852,0.798605,-0.024865,-0.000002,-0.601342,-0.699339,0.062901,0.057281,0.709709,-0.648605,-0.067162,-0.046114,0.756752,-0.650331,-0.002718,-0.008047,0.759604,0.722970,0.051282,0.054386,-0.686823,0.705502,0.038101,-0.063150,-0.704860,-0.441830,-0.527627,-0.236903,0.685764,-0.419289,-0.532557,-0.232346,0.697564,0.731070,-0.073224,0.101855,-0.670672,0.755877,0.144937,0.539036,-0.342175,0.535001,0.240216,0.774738,-0.236329
-0.702262,0.003452,0.007456,0.711871,-0.700574,0.044806,0.086636,0.706883,0.794866,0.064162,0.081491,-0.597855,0.798577,-0.024579,0.000057,-0.601391,-0.699202,0.062875,0.057305,0.709845,-0.648391,-0.067204,-0.046029,0.756938,-0.650113,-0.002556,-0.008387,0.759787,0.722893,0.051502,0.054555,-0.686874,0.705456,0.038388,-0.062797,-0.704922,-0.441537,-0.527813,-0.237209,0.685705,-0.418854,-0.532827,-0.232505,0.697566,0.730983,-0.073281,0.102423,-0.670674,0.755595,0.145033,0.539506,-0.342015,0.534303,0.239432,0.775617,-0.235819
-0.702187,0.003644,0.007217,0.711947,-0.700549,0.044632,0.086621,0.706920,0.794844,0.064412,0.081574,-0.597846,0.798561,-0.024647,0.000430,-0.601409,-0.699180,0.062680,0.057347,0.709881,-0.648325,-0.067505,-0.046066,0.756965,-0.650059,-0.002779,-0.008968,0.759825,0.722638,0.051504,0.054802,-0.687123,0.705246,0.038827,-0.062664,-0.705120,-0.441015,-0.528380,-0.237255,0.685588,-0.418433,-0.533558,-0.232378,0.697302,0.730728,-0.073400,0.102864,-0.670871,0.755196,0.145165,0.540175,-0.341784,0.533196,0.237465,0.777164,-0.235219
