joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.011100,0.023977,0.064732,0.052474,-0.014301,-0.002832,0.287469,-0.144148,0.163664,0.224069,0.158981,-0.184808,-0.094507,-0.235364,-0.148159,0.155048,-0.261339,-0.043134,-0.025892,-0.523530,0.720185,1.176037,0.964670,0.037458,-0.100610,0.012112,0.590135,-0.057671,0.053013
0.009831,0.023977,0.064732,0.052474,-0.014301,-0.002832,0.287469,-0.144148,0.163664,0.225650,0.158981,-0.189218,-0.099403,-0.235364,-0.148159,0.152031,-0.256922,-0.044961,-0.025892,-0.525091,0.720185,1.182527,0.970633,0.037458,-0.100610,0.010187,0.613309,-0.053364,0.058637
0.008985,0.022750,0.064170,0.052699,-0.014332,-0.002946,0.287148,-0.143858,0.164190,0.226048,0.159253,-0.192599,-0.103180,-0.234870,-0.146575,0.150020,-0.253542,-0.045237,-0.025813,-0.526772,0.720355,1.187573,0.975030,0.038150,-0.101206,0.008432,0.633642,-0.048946,0.063705
0.008985,0.022750,0.064170,0.052699,-0.014332,-0.002946,0.287148,-0.143858,0.164190,0.226048,0.159253,-0.192599,-0.104717,-0.234870,-0.143489,0.150020,-0.252236,-0.045237,-0.025813,-0.526772,0.720355,1.187573,0.976298,0.038150,-0.101206,0.007019,0.648291,-0.044303,0.067659
0.008235,0.022876,0.063998,0.053131,-0.013409,-0.002564,0.287423,-0.143208,0.164003,0.224993,0.157519,-0.192715,-0.105816,-0.236171,-0.143293,0.150830,-0.251242,-0.044145,-0.026296,-0.527412,0.720550,1.188293,0.976720,0.038314,-0.101447,0.005783,0.659661,-0.040786,0.070888
0.008235,0.022876,0.063998,0.053131,-0.013409,-0.002564,0.287423,-0.143208,0.164003,0.224993,0.154568,-0.192715,-0.105816,-0.236171,-0.144542,0.150830,-0.251242,-0.044145,-0.026296,-0.527412,0.720550,1.188293,0.976720,0.038314,-0.101447,0.005783,0.669391,-0.037831,0.073753
0.007896,0.024238,0.064887,0.053010,-0.012951,-0.002379,0.287483,-0.142478,0.163802,0.224966,0.152402,-0.192390,-0.106402,-0.238212,-0.147406,0.152030,-0.250203,-0.044531,-0.026224,-0.526849,0.721097,1.187903,0.976688,0.038618,-0.101882,0.004389,0.675935,-0.036076,0.075483
0.006850,0.024390,0.066307,0.053497,-0.012640,-0.002342,0.288500,-0.142236,0.163370,0.225338,0.151483,-0.191778,-0.107027,-0.239051,-0.148648,0.152857,-0.249365,-0.044481,-0.025669,-0.525899,0.721167,1.188230,0.976488,0.038898,-0.101465,0.003181,0.681709,-0.034136,0.077069
0.006850,0.022877,0.066307,0.053497,-0.012640,-0.002342,0.288500,-0.142236,0.163370,0.225338,0.151483,-0.191778,-0.107027,-0.239051,-0.146646,0.152857,-0.249365,-0.044481,-0.025669,-0.525899,0.721167,1.188230,0.976488,0.038898,-0.101465,0.003181,0.685942,-0.034136,0.078369
0.006278,0.021512,0.067036,0.054151,-0.012165,-0.001930,0.289588,-0.141902,0.162810,0.224561,0.152885,-0.191389,-0.107712,-0.238229,-0.143278,0.153491,-0.248576,-0.043894,-0.025598,-0.524571,0.720273,1.188088,0.976300,0.039015,-0.098932,0.002153,0.688997,-0.033366,0.079834
