joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.063439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079029,0.000000,-0.220495,-0.244795,0.000000,0.000000,-0.150842,0.220861,-0.091345,0.000000,-0.078079,0.000000,0.324506,0.298154,0.000000,0.000000,-0.096280,1.158708,0.215328,0.281199
-0.042292,-0.061374,-0.028088,0.011279,-0.001519,-0.005682,-0.016049,0.014510,0.026312,0.019898,0.013582,-0.169083,-0.188822,0.024706,0.079200,-0.100561,0.169009,-0.013801,0.003986,-0.084043,0.008518,0.252306,0.219885,0.034580,-0.029802,-0.087732,1.016626,0.220932,0.253371
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.076877,0.000000,0.154293,0.000000,0.065300,0.000000,0.000000,0.000000,0.000000,0.000000,0.063375,0.000000,0.000000,-0.070635,0.732458,0.232138,0.197713
-0.037494,0.006300,-0.008606,0.021577,0.046160,0.019110,0.013712,0.032507,-0.009381,-0.052740,-0.086679,-0.005809,-0.054925,-0.065053,0.009797,0.040481,0.049703,0.054613,-0.024161,-0.031990,0.009724,0.035977,0.021118,0.008192,-0.012049,-0.061811,0.568500,0.175871,0.161433
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.147556,0.000000,0.000000,0.000000,-0.062448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.486517,0.147736,0.143292
-0.016943,0.068127,0.044465,-0.006014,0.022883,0.009259,0.003019,0.036489,-0.010020,-0.001346,-0.108312,0.016274,-0.029299,-0.102074,-0.143180,0.060017,0.051925,-0.019298,0.003610,0.028139,0.027370,-0.019467,-0.001603,0.015206,-0.021781,-0.069693,0.327203,0.087740,0.086481
-0.052332,0.007583,0.070968,0.024303,0.015569,0.001837,0.050855,0.012075,-0.021604,0.018606,-0.045969,0.030586,-0.031266,-0.041950,-0.062093,0.041350,0.041923,0.002500,0.027744,0.047493,0.003499,0.016326,-0.010011,0.014004,0.020875,-0.060415,0.288689,0.096993,0.079320
0.000000,-0.075633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211674,0.000000,0.064998
-0.028602,-0.068257,0.036471,0.032714,0.023719,0.020600,0.054397,0.016719,-0.027993,-0.038861,0.070141,0.019479,-0.034263,0.041119,0.168376,0.031723,0.039428,0.029317,0.003558,0.066441,-0.044739,-0.007087,-0.009394,0.005855,0.126661,-0.051415,0.152710,0.038501,0.073208
0.000000,-0.064570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065856,0.000000,0.000000,0.000000,0.202519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120297,0.000000,0.123221,0.000000,0.077312
-0.016284,0.000000,0.015869,0.017378,-0.012842,-0.001371,0.037166,-0.001901,0.016418,-0.009254,0.000000,0.007945,-0.051877,0.032438,-0.126714,0.012461,0.051818,-0.044492,-0.026813,0.032088,-0.012454,0.007212,-0.036308,-0.013653,0.071319,-0.038961,0.107986,0.006972,0.028172
-0.028184,-0.034882,-0.010435,-0.033654,-0.025102,-0.041895,0.017582,0.026231,0.037883,0.031266,0.046495,-0.022812,-0.018781,-0.033138,-0.118723,-0.004058,0.030326,-0.003485,0.008454,-0.024980,-0.023204,0.025100,-0.009972,-0.006483,0.030218,-0.016535,0.103304,0.017985,0.026259
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.102741,0.000000,0.000000,0.000000,0.078651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093961,0.000000,0.000000
0.035013,0.003323,-0.038635,-0.011127,0.021865,-0.016410,-0.031596,0.036280,0.042727,0.018544,0.076862,-0.004157,0.011168,-0.042987,-0.053033,-0.040840,0.050862,-0.002884,0.039881,-0.030151,0.008839,-0.012970,0.075918,0.016120,-0.046643,-0.014138,0.056526,0.010284,-0.012575
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.013384,-0.021920,-0.051796,0.007884,-0.019071,-0.022935,-0.020462,-0.024736,0.050253,0.009726,0.043902,-0.022715,0.001947,0.033817,-0.007853,-0.053965,0.028351,0.027166,-0.083012,-0.062677,0.018832,0.003541,0.045106,0.011781,-0.072155,0.027903,0.051332,0.013809,-0.010663
-0.009884,0.008886,-0.026279,0.030967,-0.006757,-0.013308,0.013590,-0.046693,0.031406,0.053667,0.074556,-0.048260,0.038439,0.042966,0.009783,-0.069056,0.001501,0.052714,-0.064451,-0.034919,0.034374,0.020534,-0.016496,0.016484,-0.042842,0.010095,0.043818,0.019252,0.006354
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.026691,-0.032713,0.019801,-0.002204,-0.007068,-0.023952,0.014926,-0.020678,0.013689,0.026399,0.030654,-0.006039,0.084943,0.014596,-0.020789,-0.068377,-0.045833,-0.013405,0.003608,0.083339,-0.020897,-0.003725,-0.037840,0.027758,0.008548,-0.007973,0.017688,-0.028580,0.028261
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.010905,0.041873,-0.007255,-0.015751,-0.020601,-0.015836,-0.049278,0.011326,-0.019844,0.008990,-0.094222,0.021753,0.031153,0.036895,-0.000240,-0.059484,-0.050093,-0.023945,0.001297,0.042143,-0.015303,-0.010186,0.000730,0.008056,-0.119559,-0.014439,0.031048,-0.039641,0.000545
0.006351,0.034565,-0.013584,0.006706,0.033467,-0.013705,-0.024594,0.010196,-0.007283,-0.000028,-0.079488,0.010659,0.047258,0.003292,0.019394,-0.024277,-0.034565,-0.004683,0.006327,0.013310,-0.000489,-0.008112,0.018734,0.001488,-0.118603,-0.025754,0.020632,-0.025594,0.007426
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.030297,0.024049,-0.011178,0.014346,0.017511,-0.013891,0.008686,0.016756,-0.006644,0.013445,-0.033160,0.013185,0.025913,-0.030920,-0.017942,-0.020976,-0.040691,0.019787,0.014740,-0.005379,-0.006101,0.006032,0.009784,-0.012374,-0.006451,-0.013963,0.007889,-0.016781,0.040507
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.022265,-0.030963,0.009685,0.023884,0.001063,-0.002321,0.009240,-0.010198,-0.003266,0.028796,-0.003140,0.018796,0.009808,-0.007433,0.011746,-0.006774,-0.047845,-0.007867,-0.043353,-0.001326,0.013959,0.000054,-0.000978,0.023258,-0.102960,-0.000311,0.031471,-0.002038,-0.000988
0.010601,0.007970,-0.023479,0.042557,0.048047,0.010234,0.000788,-0.005405,0.012959,0.012104,0.012048,0.026369,0.001683,0.003850,0.029251,0.042737,-0.020918,-0.042591,-0.045887,-0.018477,0.046393,0.015867,0.033492,0.011487,-0.198305,0.008895,0.043213,0.027459,-0.050121
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.350961,0.000000,0.000000,0.000000,-0.082433
-0.007464,-0.007886,0.033034,0.027652,0.022940,-0.010749,0.012575,0.032419,-0.000976,0.008210,-0.007489,0.002843,0.016518,-0.016059,-0.013243,0.055583,-0.012784,-0.009143,0.011073,-0.027913,-0.027639,0.030118,-0.014785,-0.002062,-0.325999,0.000138,0.019524,0.021442,-0.035205
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.313517,0.000000,0.000000,0.000000,0.000000
0.004633,-0.004206,0.026459,0.008247,0.022464,-0.011851,0.009361,0.016785,-0.026137,-0.016205,0.001528,0.009060,0.018546,-0.023518,-0.024260,0.061018,-0.004551,0.008164,-0.014612,0.023869,-0.045168,0.034791,-0.030202,0.040679,-0.118616,-0.016105,-0.025627,-0.001935,0.061917
0.010352,0.008330,-0.035476,0.020116,0.029277,0.016286,0.010367,0.002187,0.004224,-0.019064,-0.018458,-0.034620,-0.044639,-0.024375,-0.025596,0.058243,0.018094,-0.030920,0.003386,-0.007236,-0.006688,-0.008422,0.032389,0.020129,-0.104001,0.013290,-0.049469,0.006264,0.068690
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084205,0.000000,0.000000,0.000000,0.000000,0.000000,-0.074770,0.000000,0.000000,0.000000,0.066781
0.024803,-0.024425,0.037304,0.004449,0.012816,0.010835,0.047554,0.031440,0.013568,0.019359,0.022086,-0.019086,-0.043567,-0.031369,-0.074431,0.051732,0.029296,-0.023709,0.000969,0.017235,-0.040951,-0.067794,0.030380,0.009612,-0.072081,0.032335,-0.047693,-0.000742,0.067068
